IDNR,LOSS,GENDER,AGE,EXPER,MARSTAT,PRESID,TOWORK,MILES,CLAIMS,CITATS,SIZE,COMPA,COMPB,COMPC
1337,1.188,0,22,6,1,0,0,13,0,2,4,1000,1520,1320
1338,1.446,1,23,6,1,1,14,9,1,1,2,1000,1520,1720
1339,1.001,0,33,17,1,0,6,6,0,1,1,1000,1190,990
1340,1.199,1,32,15,2,1,11,7,3,1,2,1000,1250,1450
1341,1.441,0,17,1,1,0,8,2,0,0,1,1000,1670,1470
1342,0.548,0,55,38,2,1,0,3,0,0,1,1000,560,360
1343,0.478,1,68,25,2,1,0,4,0,1,3,1000,950,1150
1344,0.489,0,64,3,3,0,27,10,1,1,4,1000,1610,1410
1345,0.344,0,56,23,2,1,5,22,1,4,1,1000,1010,810
1346,0.874,0,45,14,2,1,13,4,0,1,1,1000,1280,1080
1347,0.464,1,67,34,2,1,5,4,2,1,1,1000,680,880
1348,0.668,1,57,30,2,1,5,3,1,0,1,1000,800,1000
1349,0.652,0,43,11,2,1,9,3,0,0,1,1000,1370,1170
1350,1.037,0,30,8,2,0,9,6,2,1,1,1000,1460,1260
1351,1.136,0,26,10,1,1,5,3,1,0,1,1000,1400,1200
1352,0.601,0,45,18,2,1,1,14,0,2,1,1000,1160,960
1353,1.08,1,47,31,2,1,23,15,1,2,1,1000,770,970
1354,1.456,1,29,10,1,0,17,7,1,1,3,1000,1400,1600
1355,0.863,1,47,22,3,1,5,18,2,3,2,1000,1040,1240
1356,1.197,1,42,17,2,1,31,8,0,1,2,1000,1190,1390
1357,0.347,1,60,10,2,1,1,5,1,1,1,1000,1400,1600
1358,1.239,0,26,8,1,1,8,7,1,1,1,1000,1460,1260
1359,0.749,1,42,16,2,0,0,4,0,1,1,1000,1220,1420
1360,1.282,0,28,10,2,1,5,2,1,0,2,1000,1400,1200
1361,0.38,0,52,10,2,1,3,9,0,1,2,1000,1400,1200
1362,0.831,0,41,16,2,0,30,20,1,3,2,1000,1220,1020
1363,1.359,0,28,3,2,1,29,14,0,1,4,1000,1610,1410
1364,0.313,1,68,36,2,1,8,15,2,2,3,1000,620,820
1365,0.227,0,68,37,2,0,12,6,2,1,1,1000,590,390
1366,0.819,0,36,2,2,1,3,6,0,0,1,1000,1640,1440
1367,1.34,0,32,9,3,0,28,7,1,1,2,1000,1430,1230
1368,1.383,0,21,2,1,1,7,6,0,0,4,1000,1640,1440
1369,0.781,0,44,27,3,0,14,12,0,2,1,1000,890,690
1370,1.121,1,37,6,3,1,21,19,0,3,1,1000,1520,1720
1371,0.716,0,43,19,1,0,5,7,0,1,3,1000,1130,930
1372,1.239,1,28,12,1,1,11,4,2,1,2,1000,1340,1540
1373,0.518,1,61,32,2,1,5,24,0,4,3,1000,740,940
1374,1.573,0,18,2,2,1,8,9,1,1,2,1000,1640,1440
1375,0.629,0,46,25,2,1,5,10,0,2,1,1000,950,750
1376,1.357,0,23,7,1,1,5,5,1,1,1,1000,1490,1290
1377,1.53,1,17,0,1,0,12,24,0,0,2,1000,1700,1900
1378,0.85,1,44,24,2,1,7,2,0,0,2,1000,980,1180
1379,1.678,0,16,0,1,0,34,14,0,0,1,1000,1700,1500
1380,0.333,0,59,33,2,1,0,7,0,1,1,1000,710,510
1381,1.221,0,27,5,1,1,8,11,0,2,2,1000,1550,1350
1382,0.939,1,38,21,2,1,5,17,1,3,1,1000,1070,1270
1383,1.379,0,21,4,3,1,4,7,2,1,3,1000,1580,1380
1384,1.275,1,25,0,2,0,6,15,0,0,1,1000,1700,1900
1385,1.373,1,30,5,2,1,15,2,2,0,1,1000,1550,1750
1386,1.078,1,34,18,2,0,7,2,3,0,1,1000,1160,1360
1387,1.333,0,23,5,1,1,0,9,0,1,1,1000,1550,1350
1388,0.896,1,46,24,1,1,4,2,0,0,1,1000,980,1180
1389,2.054,1,16,0,1,1,28,1,0,0,1,1000,1700,1900
1390,0.824,1,43,23,2,0,7,3,3,0,3,1000,1010,1210
1391,0.382,0,54,27,3,1,0,6,0,1,1,1000,890,690
1392,0.52,0,55,27,2,1,5,5,1,1,1,1000,890,690
1393,1.752,1,18,1,2,0,11,3,0,0,2,1000,1670,1870
1394,0.615,1,51,21,1,1,6,11,1,2,1,1000,1070,1270
1395,1.222,0,32,14,2,1,34,4,1,1,1,1000,1280,1080
1396,1.389,0,24,4,1,1,8,13,0,2,3,1000,1580,1380
1397,1.3,1,32,12,2,1,8,8,1,1,2,1000,1340,1540
1398,1.262,0,24,7,1,1,5,6,1,1,2,1000,1490,1290
1399,0.637,1,53,17,2,1,6,14,2,2,1,1000,1190,1390
1400,0.779,1,64,16,3,1,28,15,0,2,1,1000,1220,1420
1401,0.803,1,45,19,2,1,5,6,0,1,1,1000,1130,1330
1402,0.875,1,40,24,1,1,5,25,0,4,1,1000,980,1180
1403,1.417,0,18,2,1,1,5,10,0,1,1,1000,1640,1440
1404,0.725,1,49,30,2,0,5,4,0,1,1,1000,800,1000
1405,0.753,1,51,22,2,1,6,5,0,1,1,1000,1040,1240
1406,1.885,1,16,0,1,1,12,9,0,0,1,1000,1700,1900
1407,1.573,1,20,4,1,1,10,6,2,1,1,1000,1580,1780
1408,0.795,1,52,27,2,1,33,19,2,3,3,1000,890,1090
1409,1.088,0,29,12,2,1,5,8,1,1,1,1000,1340,1140
1410,1.392,1,26,5,1,1,5,12,3,2,1,1000,1550,1750
1411,0.829,1,41,17,1,1,5,4,1,1,1,1000,1190,1390
1412,0.5,1,53,22,2,0,5,13,1,2,1,1000,1040,1240
1413,0.894,0,32,12,1,0,5,3,2,0,4,1000,1340,1140
1414,1.432,1,26,2,1,1,21,8,1,0,1,1000,1640,1840
1415,1.045,0,32,7,1,1,3,10,2,2,4,1000,1490,1290
1416,1.303,0,18,2,1,0,5,1,1,0,1,1000,1640,1440
1417,1.103,1,40,16,2,1,15,19,1,3,1,1000,1220,1420
1418,1.537,1,20,4,1,1,10,3,2,0,2,1000,1580,1780
1419,0.85,1,59,17,2,1,24,1,0,0,1,1000,1190,1390
1420,0.963,1,37,20,2,1,0,4,2,1,2,1000,1100,1300
1421,0.353,1,72,37,2,0,14,2,0,0,1,1000,590,790
1422,0.625,1,57,22,2,1,5,22,0,4,1,1000,1040,1240
1423,1.124,0,29,10,2,1,3,7,0,1,3,1000,1400,1200
1424,1.046,0,30,10,2,0,2,8,2,1,3,1000,1400,1200
1425,1.323,1,23,4,3,0,5,7,1,1,2,1000,1580,1780
1426,0.616,1,63,46,2,1,34,2,0,0,1,1000,320,520
1427,0.938,1,44,25,2,1,19,6,1,1,1,1000,950,1150
1428,1.058,1,38,7,2,1,4,10,0,2,1,1000,1490,1690
1429,1.38,1,26,8,3,1,0,4,0,1,2,1000,1460,1660
1430,0.751,1,52,17,2,0,22,21,0,3,1,1000,1190,1390
1431,1.354,1,26,6,2,1,5,2,0,0,3,1000,1520,1720
1432,1.546,0,17,0,1,0,18,5,0,0,1,1000,1700,1500
1433,0.958,1,34,15,1,0,7,5,0,1,2,1000,1250,1450
1434,1.558,1,27,9,3,1,19,7,1,1,3,1000,1430,1630
1435,0.56,0,42,16,2,1,0,4,1,1,4,1000,1220,1020
1436,1.285,1,23,3,3,1,0,25,1,2,3,1000,1610,1810
1437,0.615,1,50,33,2,0,5,5,1,1,1,1000,710,910
1438,1.179,1,26,8,1,0,7,21,2,3,1,1000,1460,1660
1439,0.735,0,41,14,1,1,0,7,0,1,1,1000,1280,1080
1440,0.561,1,61,34,2,1,12,21,1,3,3,1000,680,880
1441,0.995,1,36,6,2,1,4,9,0,1,5,1000,1520,1720
1442,0.926,1,40,5,2,0,5,4,1,1,1,1000,1550,1750
1443,1.582,0,18,2,1,1,5,9,0,1,1,1000,1640,1440
1444,1.279,0,21,1,2,0,5,10,0,0,2,1000,1670,1470
1445,1.274,1,24,8,1,0,7,5,1,1,4,1000,1460,1660
1446,1.415,1,27,10,1,0,12,1,2,0,1,1000,1400,1600
1447,1.498,1,23,5,2,1,3,1,0,0,2,1000,1550,1750
1448,0.794,1,51,35,2,1,15,7,0,1,1,1000,650,850
1449,0.354,0,66,43,3,1,4,4,0,1,1,1000,410,210
1450,1.233,1,27,11,2,1,7,4,1,1,4,1000,1370,1570
1451,1.123,1,29,10,1,0,13,22,2,4,1,1000,1400,1600
1452,1.482,1,23,4,3,1,3,4,1,0,2,1000,1580,1780
1453,1.412,1,28,6,2,1,5,7,1,1,1,1000,1520,1720
1454,1.292,0,33,6,2,1,23,10,0,2,3,1000,1520,1320
1455,1.484,0,21,3,1,1,27,8,1,1,3,1000,1610,1410
1456,0.897,1,41,10,3,0,5,21,1,3,4,1000,1400,1600
1457,0.827,1,41,14,2,0,5,22,2,4,2,1000,1280,1480
1458,1.379,0,23,6,3,1,26,9,0,1,2,1000,1520,1320
1459,0.77,1,41,23,1,1,5,25,0,4,2,1000,1010,1210
1460,1.487,0,19,3,1,1,5,3,1,0,2,1000,1610,1410
1461,1.486,1,21,1,1,0,6,4,0,0,2,1000,1670,1870
1462,1.033,0,36,10,3,0,32,4,0,1,2,1000,1400,1200
1463,0.639,1,49,27,1,1,5,3,0,0,2,1000,890,1090
1464,1.247,1,28,11,1,1,5,6,1,1,4,1000,1370,1570
1465,0.918,1,38,11,2,0,13,9,2,1,2,1000,1370,1570
1466,0.199,1,76,11,2,1,5,4,0,1,2,1000,1370,1570
1467,0.807,0,51,32,2,0,26,5,0,1,2,1000,740,540
1468,0.061,0,72,38,2,0,2,14,0,2,2,1000,560,360
1469,1.527,1,20,1,1,1,5,5,0,0,1,1000,1670,1870
1470,0.615,0,49,26,2,0,4,12,0,2,1,1000,920,720
1471,1.542,1,17,1,1,0,14,5,0,0,5,1000,1670,1870
1472,1.157,1,33,7,2,1,20,9,2,1,1,1000,1490,1690
1473,1.388,0,24,6,2,1,2,2,0,0,1,1000,1520,1320
1474,1.157,1,26,5,2,1,0,14,1,2,4,1000,1550,1750
1475,0.32,0,60,30,2,1,3,23,0,4,3,1000,800,600
1476,0.528,0,49,28,2,1,5,12,0,2,2,1000,860,660
1477,1.613,1,21,5,1,1,7,11,2,2,1,1000,1550,1750
1478,1.435,1,25,5,1,1,5,7,0,1,1,1000,1550,1750
1479,0.388,1,71,34,2,1,14,1,0,0,3,1000,680,880
1480,0.183,1,76,36,2,0,5,6,0,1,3,1000,620,820
1481,1.645,1,26,6,2,1,28,2,1,0,1,1000,1520,1720
1482,1.187,0,29,5,2,1,9,15,0,2,3,1000,1550,1350
1483,0.812,0,41,20,1,1,9,3,0,0,1,1000,1100,900
1484,0.852,1,42,5,1,1,5,9,0,1,1,1000,1550,1750
1485,1.468,1,25,0,2,1,17,3,0,0,2,1000,1700,1900
1486,1.35,0,21,2,2,0,5,11,0,1,2,1000,1640,1440
1487,0.989,0,34,18,1,1,4,9,1,1,2,1000,1160,960
1488,1.325,0,22,5,2,0,5,10,1,2,2,1000,1550,1350
1489,1.333,0,22,4,2,1,1,11,2,1,1,1000,1580,1380
1490,1.014,0,28,11,2,0,5,5,1,1,5,1000,1370,1170
1491,0.635,0,51,23,2,1,3,7,0,1,1,1000,1010,810
1492,0.92,0,35,8,2,0,7,5,0,1,2,1000,1460,1260
1493,0.598,0,52,17,1,1,5,2,0,0,1,1000,1190,990
1494,1.613,1,22,5,2,1,6,7,2,1,1,1000,1550,1750
1495,0.372,0,58,22,3,1,0,1,0,0,2,1000,1040,840
1496,1.075,1,33,11,1,1,5,7,1,1,1,1000,1370,1570
1497,1.387,0,23,5,2,0,7,5,0,1,4,1000,1550,1350
1498,1.013,0,33,10,3,1,5,6,1,1,2,1000,1400,1200
1499,0.543,0,54,36,2,1,5,20,0,3,2,1000,620,420
1500,0.336,1,70,15,2,1,6,2,0,0,3,1000,1250,1450
1501,1.671,0,17,0,1,1,5,10,0,0,4,1000,1700,1500
1502,0.665,0,48,27,1,0,5,4,0,1,2,1000,890,690
1503,0.387,0,50,32,3,0,6,22,0,4,4,1000,740,540
1504,0.896,0,37,16,2,1,2,21,1,3,1,1000,1220,1020
1505,0.781,0,38,6,3,1,5,23,1,4,3,1000,1520,1320
1506,1.146,0,29,10,2,1,6,5,0,1,5,1000,1400,1200
1507,0.415,0,49,2,2,0,5,2,1,0,1,1000,1640,1440
1508,1.562,1,18,0,1,0,5,1,0,0,3,1000,1700,1900
1509,0.383,1,83,67,2,1,4,11,0,2,4,1000,-310,-110
1510,0.344,1,79,63,2,1,4,5,1,1,2,1000,-190,10
1511,1.495,1,20,3,1,1,4,9,1,1,2,1000,1610,1810
1512,1.068,0,28,3,1,1,0,5,0,0,4,1000,1610,1410
1513,1.581,1,18,2,1,1,1,21,1,1,4,1000,1640,1840
1514,1.118,0,26,8,2,1,5,24,1,4,3,1000,1460,1260
1515,1.509,0,25,1,2,1,28,1,0,0,1,1000,1670,1470
1516,0.609,0,41,25,2,0,3,15,2,2,5,1000,950,750
1517,0.355,1,60,35,1,0,7,20,0,3,4,1000,650,850
1518,1.001,0,33,4,2,1,4,7,0,1,1,1000,1580,1380
1519,0.355,1,66,32,3,0,5,6,2,1,1,1000,740,940
1520,1.376,0,24,8,2,0,16,24,1,4,2,1000,1460,1260
1521,0.837,1,37,14,1,0,6,2,1,0,1,1000,1280,1480
1522,1.366,1,22,5,2,1,5,5,1,1,1,1000,1550,1750
1523,0.32,0,78,15,3,1,11,6,1,1,1,1000,1250,1050
1524,1.113,1,31,14,2,0,5,3,1,0,1,1000,1280,1480
1525,0.689,1,49,7,2,1,16,1,1,0,2,1000,1490,1690
1526,1.492,0,22,6,1,0,15,9,1,1,4,1000,1520,1320
1527,0.479,0,56,28,3,1,9,11,1,2,3,1000,860,660
1528,1.406,1,24,3,2,0,5,2,0,0,1,1000,1610,1810
1529,0.184,0,79,63,3,1,8,19,0,3,1,1000,-190,-390
1530,0.861,0,34,9,2,0,5,8,2,1,1,1000,1430,1230
1531,1.142,0,27,11,3,1,8,12,0,2,3,1000,1370,1170
1532,0.863,1,55,23,2,0,26,6,1,1,3,1000,1010,1210
1533,1.383,1,23,7,1,1,3,9,1,1,1,1000,1490,1690
1534,0.946,1,42,15,2,1,6,7,0,1,1,1000,1250,1450
1535,0.924,1,35,14,2,1,0,6,1,1,2,1000,1280,1480
1536,0.215,0,62,28,3,0,6,7,0,1,4,1000,860,660
1537,1.18,1,35,13,2,1,20,7,1,1,1,1000,1310,1510
1538,1.394,0,18,2,2,1,5,5,1,0,2,1000,1640,1440
1539,0.658,0,51,33,2,1,5,18,0,3,1,1000,710,510
1540,0.533,1,59,42,2,1,7,7,1,1,1,1000,440,640
1541,1.601,1,20,4,2,0,5,2,0,0,3,1000,1580,1780
1542,0.103,0,69,45,3,1,5,7,0,1,1,1000,350,150
1543,1.473,0,18,0,1,1,12,9,0,0,1,1000,1700,1500
1544,0.941,1,37,17,1,1,6,15,2,2,2,1000,1190,1390
1545,1.195,0,24,8,1,0,0,10,3,2,2,1000,1460,1260
1546,1.441,0,17,1,1,0,7,20,1,1,4,1000,1670,1470
1547,0.468,1,62,46,2,0,1,4,0,1,3,1000,320,520
1548,1.705,1,17,1,1,1,5,10,0,0,1,1000,1670,1870
1549,0.961,0,37,13,1,1,15,4,1,1,3,1000,1310,1110
1550,1.577,0,18,0,1,0,5,2,0,0,1,1000,1700,1500
1551,0.935,1,41,22,2,1,12,6,0,1,1,1000,1040,1240
1552,1.03,0,37,20,2,1,24,15,0,2,3,1000,1100,900
1553,1.016,1,33,12,3,1,0,11,0,2,1,1000,1340,1540
1554,0.222,1,69,12,2,1,5,6,2,1,1,1000,1340,1540
1555,1.569,0,16,0,1,1,5,8,0,0,1,1000,1700,1500
1556,1.343,1,29,12,1,1,3,25,1,4,5,1000,1340,1540
1557,1.295,0,31,5,2,1,31,7,0,1,2,1000,1550,1350
1558,1.405,1,19,0,1,0,8,4,0,0,2,1000,1700,1900
1559,1.239,1,31,11,2,1,5,20,1,3,3,1000,1370,1570
1560,1.464,1,24,7,1,1,2,21,1,3,3,1000,1490,1690
1561,0.67,1,45,25,2,0,6,14,0,2,1,1000,950,1150
1562,0.356,0,57,39,2,1,4,7,0,1,2,1000,530,330
1563,0.774,0,39,9,3,0,3,6,1,1,2,1000,1430,1230
1564,0.016,0,83,40,3,1,5,10,0,2,3,1000,500,300
1565,1.27,0,28,2,1,0,17,5,1,0,1,1000,1640,1440
1566,1.425,0,21,5,2,1,10,20,1,3,2,1000,1550,1350
1567,1.53,0,17,1,1,1,0,2,0,0,1,1000,1670,1470
1568,1.107,1,29,8,3,1,3,25,1,4,3,1000,1460,1660
1569,1.679,1,17,1,1,1,0,7,1,0,1,1000,1670,1870
1570,0.942,0,46,23,2,1,29,6,2,1,4,1000,1010,810
1571,0.6,1,55,27,2,1,5,2,0,0,3,1000,890,1090
1572,0.313,1,78,28,2,1,8,6,0,1,1,1000,860,1060
1573,1.229,1,44,12,2,1,34,7,1,1,1,1000,1340,1540
1574,0.528,1,74,10,2,0,18,14,2,2,1,1000,1400,1600
1575,0.759,1,45,10,3,1,0,10,1,2,1,1000,1400,1600
1576,0.955,1,48,25,2,1,13,6,1,1,4,1000,950,1150
1577,0.462,0,62,42,3,1,9,8,0,1,2,1000,440,240
1578,1.128,1,34,7,1,0,13,18,0,3,1,1000,1490,1690
1579,0.653,1,54,24,2,0,5,3,1,0,1,1000,980,1180
1580,0.857,1,40,13,1,1,13,7,0,1,3,1000,1310,1510
1581,0.384,0,66,48,3,0,14,2,1,0,1,1000,260,60
1582,1.181,0,24,8,2,0,8,25,0,4,3,1000,1460,1260
1583,0.368,1,60,42,2,1,3,9,0,1,1,1000,440,640
1584,0.924,0,29,13,2,1,0,6,0,1,1,1000,1310,1110
1585,0.232,1,67,28,1,0,3,5,2,1,1,1000,860,1060
1586,1.216,1,28,7,2,1,5,2,0,0,1,1000,1490,1690
1587,1.885,1,16,0,1,1,28,3,0,0,3,1000,1700,1900
1588,1.362,1,30,4,1,1,16,14,1,2,2,1000,1580,1780
1589,1.362,1,25,5,1,0,7,10,0,2,1,1000,1550,1750
1590,0.297,1,70,51,2,0,5,20,0,3,1,1000,170,370
1591,0.929,0,34,8,2,0,2,8,0,1,1,1000,1460,1260
1592,1.111,1,41,19,2,1,12,5,2,1,1,1000,1130,1330
1593,0.801,0,38,18,2,0,8,9,2,1,2,1000,1160,960
1594,0.91,1,44,10,2,0,6,3,1,0,1,1000,1400,1600
1595,0.681,0,41,24,2,1,5,2,0,0,2,1000,980,780
1596,0.113,0,72,54,3,0,0,5,1,1,1,1000,80,-120
1597,1.814,1,17,1,1,1,7,3,0,0,2,1000,1670,1870
1598,0.505,1,64,38,1,1,5,6,1,1,4,1000,560,760
1599,1.557,1,16,0,1,1,5,2,0,0,2,1000,1700,1900
1600,0.874,1,46,22,2,1,11,4,1,1,3,1000,1040,1240
1601,1.21,1,30,13,3,0,5,7,2,1,5,1000,1310,1510
1602,1.253,1,33,8,2,1,19,22,2,4,1,1000,1460,1660
1603,1.317,1,25,5,2,0,4,4,4,1,1,1000,1550,1750
1604,0.693,1,46,27,2,1,3,4,0,1,2,1000,890,1090
1605,1.29,0,20,1,1,0,5,9,0,0,1,1000,1670,1470
1606,1.715,1,18,1,1,1,6,17,0,1,3,1000,1670,1870
1607,0.914,1,42,4,2,0,5,4,0,0,5,1000,1580,1780
1608,1.551,1,21,2,1,1,5,13,0,1,1,1000,1640,1840
1609,0.379,0,57,28,2,1,5,17,2,3,1,1000,860,660
1610,1.221,1,29,13,2,0,6,4,1,1,1,1000,1310,1510
1611,1.545,0,18,2,1,0,2,6,0,0,4,1000,1640,1440
1612,0.561,1,54,7,2,1,5,4,0,1,1,1000,1490,1690
1613,0.893,1,39,21,2,1,8,4,0,1,1,1000,1070,1270
1614,0.517,0,45,17,1,0,6,5,1,1,2,1000,1190,990
1615,1.428,1,25,1,2,1,6,1,0,0,1,1000,1670,1870
1616,0.581,1,49,32,2,1,6,1,1,0,4,1000,740,940
1617,0.714,1,48,23,2,1,5,9,0,1,1,1000,1010,1210
1618,1.026,0,31,6,3,1,6,11,0,2,1,1000,1520,1320
1619,0.456,0,54,28,2,0,7,26,1,4,5,1000,860,660
1620,0.782,1,47,23,1,0,25,20,0,3,2,1000,1010,1210
1621,0.419,0,52,32,1,0,5,6,0,1,3,1000,740,540
1622,1.64,1,18,0,1,1,5,5,0,0,4,1000,1700,1900
1623,1.215,1,33,15,1,1,5,23,2,4,1,1000,1250,1450
1624,0.474,0,53,5,2,0,8,8,1,1,2,1000,1550,1350
1625,1.253,1,32,10,2,1,7,15,0,2,1,1000,1400,1600
1626,0.699,0,44,15,2,0,5,5,0,1,3,1000,1250,1050
1627,1.463,0,24,2,1,0,26,12,1,1,4,1000,1640,1440
1628,0.205,0,66,42,3,1,3,6,1,1,1,1000,440,240
1629,0.971,0,38,10,2,1,6,10,1,2,2,1000,1400,1200
1630,1.243,1,30,8,1,1,5,4,1,1,2,1000,1460,1660
1631,0.561,0,42,20,2,0,5,12,1,2,4,1000,1100,900
1632,1.466,0,25,4,2,1,15,4,1,0,5,1000,1580,1380
1633,1.162,1,36,16,1,1,31,5,1,1,2,1000,1220,1420
1634,0.843,1,42,5,2,1,2,5,2,1,5,1000,1550,1750
1635,0.531,1,66,25,2,1,7,17,0,3,2,1000,950,1150
1636,1.312,0,24,8,1,0,7,3,0,0,1,1000,1460,1260
1637,1.673,0,19,0,1,1,15,4,0,0,3,1000,1700,1500
1638,0.681,1,53,21,2,0,5,6,0,1,5,1000,1070,1270
1639,0.314,0,71,48,3,1,1,4,0,1,1,1000,260,60
1640,0.544,0,57,9,2,1,19,15,2,2,1,1000,1430,1230
1641,1.372,1,26,4,1,1,16,23,0,3,2,1000,1580,1780
1642,1.161,1,29,12,1,1,2,4,1,1,5,1000,1340,1540
1643,1.309,1,32,6,1,1,19,4,0,1,3,1000,1520,1720
1644,0.181,0,84,49,3,0,14,2,0,0,1,1000,230,30
1645,0.563,1,56,12,2,0,3,8,1,1,3,1000,1340,1540
1646,1.379,1,22,6,1,1,5,11,1,2,1,1000,1520,1720
1647,1.015,1,41,11,2,1,5,4,1,1,1,1000,1370,1570
1648,1.736,1,16,0,1,1,10,23,0,0,1,1000,1700,1900
1649,0.807,0,40,21,2,0,0,11,0,2,1,1000,1070,870
1650,1.02,1,38,12,1,0,5,3,1,0,1,1000,1340,1540
1651,1.637,0,17,1,1,1,11,7,0,0,2,1000,1670,1470
1652,0.45,0,47,23,3,1,0,5,0,1,4,1000,1010,810
1653,0.529,1,65,11,2,1,5,3,1,0,4,1000,1370,1570
1654,1.343,1,23,6,2,0,12,16,1,3,1,1000,1520,1720
1655,0.413,1,66,46,3,1,4,4,1,1,1,1000,320,520
1656,1.155,0,29,12,2,1,6,5,2,1,1,1000,1340,1140
1657,0.867,0,39,14,1,1,5,6,1,1,1,1000,1280,1080
1658,1.359,0,18,2,1,1,3,16,1,1,1,1000,1640,1440
1659,0.16,0,67,39,2,1,0,3,0,0,2,1000,530,330
1660,0.313,0,61,36,2,0,2,4,0,1,4,1000,620,420
1661,0.308,1,85,59,2,1,15,6,0,1,3,1000,-70,130
1662,0.486,1,64,44,2,1,15,4,0,1,1,1000,380,580
1663,1.258,1,39,18,2,0,26,26,1,4,1,1000,1160,1360
1664,1.218,0,38,9,2,1,30,9,1,1,1,1000,1430,1230
1665,1.587,1,21,2,1,1,5,25,0,2,1,1000,1640,1840
1666,1.537,1,21,1,2,1,2,7,0,0,2,1000,1670,1870
1667,0.463,0,47,28,2,1,3,19,0,3,4,1000,860,660
1668,0.371,0,63,22,3,1,6,16,0,3,3,1000,1040,840
1669,1.377,0,19,0,2,1,0,9,0,0,2,1000,1700,1500
1670,1.276,1,35,18,1,1,19,7,1,1,1,1000,1160,1360
1671,1.462,1,23,6,1,1,4,4,4,1,5,1000,1520,1720
1672,0.27,0,84,34,3,1,23,17,0,3,3,1000,680,480
1673,0.269,1,68,40,2,1,5,13,0,2,2,1000,500,700
1674,0.208,1,74,56,2,1,2,12,1,2,2,1000,20,220
1675,1.009,1,39,18,2,1,12,4,0,1,3,1000,1160,1360
1676,0.542,1,60,22,2,1,13,8,0,1,3,1000,1040,1240
1677,0.465,1,70,53,2,1,5,2,1,0,1,1000,110,310
1678,0.382,0,57,32,2,1,7,7,1,1,2,1000,740,540
1679,0.694,1,45,27,2,0,6,11,1,2,1,1000,890,1090
1680,1.475,0,18,1,1,1,0,4,0,0,1,1000,1670,1470
1681,0.602,0,53,31,1,1,6,6,0,1,3,1000,770,570
1682,0.682,1,43,25,2,1,0,12,1,2,1,1000,950,1150
1683,1.203,0,31,8,2,1,5,4,0,1,2,1000,1460,1260
1684,1.399,1,21,4,1,1,4,4,0,0,3,1000,1580,1780
1685,0.882,1,44,9,2,0,6,13,0,2,4,1000,1430,1630
1686,0.254,1,68,14,2,1,1,2,0,0,1,1000,1280,1480
1687,1.501,1,19,3,1,1,8,25,2,2,1,1000,1610,1810
1688,1.829,1,23,6,2,1,33,10,1,2,4,1000,1520,1720
1689,1.293,0,20,4,1,1,6,5,2,1,1,1000,1580,1380
1690,1.26,0,25,9,2,0,4,2,2,0,1,1000,1430,1230
1691,1.19,0,22,5,1,0,0,10,1,2,1,1000,1550,1350
1692,0.749,0,51,32,2,1,15,5,1,1,1,1000,740,540
1693,0.502,0,61,10,2,1,11,5,1,1,1,1000,1400,1200
1694,1.402,0,27,10,2,1,17,26,0,4,1,1000,1400,1200
1695,0.513,1,73,51,2,1,31,4,0,1,1,1000,170,370
1696,0.937,1,40,18,3,0,7,12,2,2,4,1000,1160,1360
1697,0.976,0,29,5,2,1,4,5,1,1,1,1000,1550,1350
1698,1.278,0,28,7,1,0,10,7,0,1,1,1000,1490,1290
1699,1.077,1,33,9,1,1,9,16,0,3,1,1000,1430,1630
1700,0.264,0,77,45,2,1,3,8,1,1,2,1000,350,150
1701,0.798,0,35,19,2,0,3,6,0,1,4,1000,1130,930
1702,0.421,0,52,23,1,1,6,3,0,0,1,1000,1010,810
1703,1.05,0,28,5,1,0,6,20,1,3,3,1000,1550,1350
1704,0.353,0,64,13,2,1,5,1,0,0,1,1000,1310,1110
1705,0.593,1,62,45,2,1,5,5,0,1,3,1000,350,550
1706,0.444,0,53,26,2,1,4,23,1,4,2,1000,920,720
1707,1.238,1,32,8,2,1,4,6,3,1,1,1000,1460,1660
1708,1.499,1,23,5,1,1,2,4,1,1,1,1000,1550,1750
1709,0.979,0,45,26,2,1,24,11,2,2,2,1000,920,720
1710,0.779,1,49,32,1,1,6,9,0,1,1,1000,740,940
1711,1.542,0,18,1,1,1,7,5,0,0,1,1000,1670,1470
1712,1.41,1,26,10,2,1,0,7,0,1,2,1000,1400,1600
1713,1.312,0,25,7,1,0,5,18,2,3,3,1000,1490,1290
1714,0.979,0,34,7,1,1,1,14,1,2,1,1000,1490,1290
1715,1.557,0,20,4,1,1,17,16,1,2,3,1000,1580,1380
1716,1.014,1,38,6,2,1,7,8,2,1,1,1000,1520,1720
1717,1.213,1,33,12,2,1,6,5,0,1,1,1000,1340,1540
1718,1.214,1,24,4,1,0,5,9,1,1,1,1000,1580,1780
1719,0.594,0,47,29,2,1,9,3,0,0,2,1000,830,630
1720,1.377,1,23,4,1,1,8,1,1,0,2,1000,1580,1780
1721,1.122,0,26,7,1,1,5,4,1,1,1,1000,1490,1290
1722,0.404,0,54,38,3,1,4,5,1,1,2,1000,560,360
1723,0.524,1,61,35,2,0,5,11,0,2,1,1000,650,850
1724,0.934,0,32,6,1,1,5,3,1,0,4,1000,1520,1320
1725,0.463,1,53,23,1,0,5,24,0,4,2,1000,1010,1210
1726,1.243,1,30,9,3,1,5,8,0,1,3,1000,1430,1630
1727,0.94,1,41,24,2,0,5,16,1,3,5,1000,980,1180
